"key","display_name","aliases","ingredients","purpose","common_dosage","common_frequency","side_effects","warnings","avoid_if","rxnorm_id","rxnorm_name","drug_class","dosage_form","route","strength"
"b-complex","B-Complex Vitamins","b complex|becosules|neurobion","b vitamins","Used for vitamin B supplementation when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Nausea, stomach upset, headache, or yellow urine.","Do not exceed recommended dose unless advised.","Avoid if allergic to any component.","","","Vitamin / Mineral supplement","Tablet / Oral","Oral","Not available"
"vitamin-c","Vitamin C","vitamin c|ascorbic acid|limcee|celin","ascorbic acid","Used for vitamin C supplementation when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Acidity, stomach upset, nausea, or diarrhea at high doses.","Use carefully in kidney stone history or severe kidney disease.","Avoid if allergic to vitamin C products.","","","Vitamin / Mineral supplement","Tablet / Oral","Oral","Not available"
"zinc","Zinc Supplement","zinc|zincovit zinc","zinc","Used for zinc supplementation when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Nausea, metallic taste, stomach upset, or vomiting.","Avoid high-dose long-term use unless advised.","Avoid if allergic to zinc products.","","","Vitamin / Mineral supplement","Tablet / Oral","Oral","Not available"
"folic-acid","Folic Acid","folic acid|folvite","folic acid","Used for folate deficiency and pregnancy supplementation when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Nausea, bloating, bitter taste, or rash rarely.","Use as part of anemia evaluation when advised.","Avoid if allergic to folic acid.","","","Vitamin / Mineral supplement","Tablet / Oral","Oral","Not available"
"thyroxine","Levothyroxine","thyroxine|levothyroxine|eltroxin|thyronorm","levothyroxine","Used for hypothyroidism when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Fast heartbeat, sweating, weight changes, nervousness, or sleep issues if dose is high.","Take consistently as advised. Do not change dose without testing/doctor advice.","Avoid if allergic or untreated adrenal problems unless doctor advises.","","","Thyroid hormone","Tablet / Oral","Oral","Not available"
"prednisolone","Prednisolone","prednisolone|wysolone","prednisolone","Steroid used for inflammation, allergy, asthma, and autoimmune conditions when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Acidity, mood changes, high sugar, weight gain, swelling, or infection risk.","Do not stop suddenly if used for more than short course. Use carefully in diabetes, BP, infection, or ulcer.","Avoid if allergic or active untreated infection unless doctor advises.","","","Antihistamine / Antiallergic","Tablet / Oral","Oral","Not available"
"hydrocortisone","Hydrocortisone","hydrocortisone|cortisol cream","hydrocortisone","Steroid used for inflammation, allergy, and skin irritation when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Skin thinning, burning, irritation, or infection risk with prolonged use.","Use thin layer only if topical. Avoid long-term use without advice.","Avoid if allergic or untreated skin infection unless doctor advises.","","","Antihistamine / Antiallergic","Cream / Topical","Topical","Not available"
"betamethasone","Betamethasone","betamethasone|betnovate","betamethasone","Steroid used for skin inflammation/allergy when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Skin thinning, irritation, acne, stretch marks, or infection worsening.","Do not use strong steroid creams on face/private areas unless advised.","Avoid if allergic or untreated fungal/bacterial skin infection unless doctor advises.","","","Antihistamine / Antiallergic","Tablet / Oral","Topical","Not available"
"dicyclomine","Dicyclomine","dicyclomine|cyclopam","dicyclomine","Used for abdominal cramps and intestinal spasms when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Dry mouth, dizziness, blurred vision, constipation, or drowsiness.","Use carefully in glaucoma, urinary retention, heart disease, or elderly patients.","Avoid if allergic or if doctor advised against antispasmodics.","","","Antispasmodic","Tablet / Oral","Oral","Not available"
"hyoscine","Hyoscine Butylbromide","hyoscine|buscopan|hyoscine butylbromide","hyoscine butylbromide","Used for abdominal cramps and spasms when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Dry mouth, blurred vision, constipation, dizziness, or fast heartbeat.","Use carefully in glaucoma, urinary retention, bowel obstruction, or heart problems.","Avoid if allergic or if doctor advised against it.","","","Antispasmodic","Tablet / Oral","Oral","Not available"
"alprazolam","Alprazolam","alprazolam|alprax|restyl","alprazolam","Used for anxiety or panic symptoms only when prescribed.","Use only under doctor supervision.","Follow doctor's prescription exactly.","Drowsiness, dizziness, confusion, dependence, or breathing risk with sedatives.","Can be habit-forming. Avoid alcohol and driving. Do not stop suddenly without doctor advice.","Avoid if allergic or if not prescribed. Use carefully in breathing problems or substance-use history.","","","Benzodiazepine / Anxiolytic","Tablet / Oral","Oral","Not available"
"sertraline","Sertraline","sertraline|zoloft","sertraline","Used for depression, anxiety, and related conditions when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Nausea, sleep changes, headache, sweating, or sexual side effects.","Mood changes or suicidal thoughts need urgent medical attention, especially at start or dose change.","Avoid if allergic or taking MAO inhibitors unless doctor directs.","","","SSRI antidepressant","Tablet / Oral","Oral","Not available"
