condition_name,condition_slug,symptom_names,symptom_slugs,symptom_probabilities,text,num_symptoms,max_symptom_probability,mean_symptom_probability,urgent_score,gp_score,self_score,label,override_applied,text_len_words,label_numeric
Drug abuse,drug-abuse,"['Drug abuse', 'Depressive or psychotic symptoms', 'Depression', 'Abusing alcohol', 'Anxiety and nervousness', 'Delusions or hallucinations', 'Antisocial behavior']","['drug-abuse', 'depressive-or-psychotic-symptoms', 'depression', 'abusing-alcohol', 'anxiety-and-nervousness', 'delusions-or-hallucinations', 'antisocial-behavior']","[60, 51, 46, 36, 32, 16, 10]","Condition: Drug abuse. Patient reports: Drug abuse, Depressive or psychotic symptoms, Depression, Abusing alcohol, Anxiety and nervousness, Delusions or hallucinations, Antisocial behavior.",7,60,35.857142857142854,0,0,0,self_monitor,False,22,0
Hypothermia,hypothermia,"['Depressive or psychotic symptoms', 'Weakness', 'Leg stiffness or tightness', 'Skin rash', 'Vomiting', 'Leg swelling', 'Loss of sensation']","['depressive-or-psychotic-symptoms', 'weakness', 'leg-stiffness-or-tightness', 'skin-rash', 'vomiting', 'leg-swelling', 'loss-of-sensation']","[73, 63, 45, 45, 45, 45, 45]","Condition: Hypothermia. Patient reports: Depressive or psychotic symptoms, Weakness, Leg stiffness or tightness, Skin rash, Vomiting, Leg swelling, Loss of sensation.",7,73,51.57142857142857,0,2,0,consult_gp,False,21,1
Liver disease,liver-disease,"['Sharp abdominal pain', 'Jaundice', 'Upper abdominal pain', 'Diarrhea', 'Shortness of breath', 'Nausea', 'Weakness']","['sharp-abdominal-pain', 'jaundice', 'upper-abdominal-pain', 'diarrhea', 'shortness-of-breath', 'nausea', 'weakness']","[53, 38, 30, 27, 26, 24, 23]","Condition: Liver disease. Patient reports: Sharp abdominal pain, Jaundice, Upper abdominal pain, Diarrhea, Shortness of breath, Nausea, Weakness.",7,53,31.571428571428573,1,2,0,urgent,False,18,2
Depression,depression,"['Depression', 'Depressive or psychotic symptoms', 'Anxiety and nervousness', 'Insomnia', 'Abusing alcohol', 'Drug abuse', 'Delusions or hallucinations']","['depression', 'depressive-or-psychotic-symptoms', 'anxiety-and-nervousness', 'insomnia', 'abusing-alcohol', 'drug-abuse', 'delusions-or-hallucinations']","[81, 57, 53, 23, 13, 11, 10]","Condition: Depression. Patient reports: Depression, Depressive or psychotic symptoms, Anxiety and nervousness, Insomnia, Abusing alcohol, Drug abuse, Delusions or hallucinations.",7,81,35.42857142857143,0,0,0,self_monitor,False,20,0
Restless leg syndrome,restless-leg-syndrome,"['Abnormal involuntary movements', 'Leg pain', 'Headache', 'Sleepiness', 'Apnea', 'Fatigue', 'Abnormal breathing sounds']","['abnormal-involuntary-movements', 'leg-pain', 'headache', 'sleepiness', 'apnea', 'fatigue', 'abnormal-breathing-sounds']","[77, 49, 39, 37, 33, 32, 32]","Condition: Restless leg syndrome. Patient reports: Abnormal involuntary movements, Leg pain, Headache, Sleepiness, Apnea, Fatigue, Abnormal breathing sounds.",7,77,42.71428571428572,0,2,0,self_monitor,True,18,0
Deep vein thrombosis (DVT),deep-vein-thrombosis-dvt,"['Leg pain', 'Leg swelling', 'Abnormal appearing skin', 'Peripheral edema', 'Arm swelling', 'Paresthesia', 'Foot or toe swelling']","['leg-pain', 'leg-swelling', 'abnormal-appearing-skin', 'peripheral-edema', 'arm-swelling', 'paresthesia', 'foot-or-toe-swelling']","[66, 57, 15, 15, 10, 10, 8]","Condition: Deep vein thrombosis (DVT). Patient reports: Leg pain, Leg swelling, Abnormal appearing skin, Peripheral edema, Arm swelling, Paresthesia, Foot or toe swelling.",7,66,25.857142857142858,0,1,0,urgent,True,23,2
Flat feet,flat-feet,"['Foot or toe pain', 'Knee pain', 'Ankle pain', 'Problems with movement', 'Cramps and spasms', 'Feet turned in', 'Symptoms of eye']","['foot-or-toe-pain', 'knee-pain', 'ankle-pain', 'problems-with-movement', 'cramps-and-spasms', 'feet-turned-in', 'symptoms-of-eye']","[74, 43, 31, 23, 23, 23, 13]","Condition: Flat feet. Patient reports: Foot or toe pain, Knee pain, Ankle pain, Problems with movement, Cramps and spasms, Feet turned in, Symptoms of eye.",7,74,32.857142857142854,0,0,0,self_monitor,False,25,0
Pelvic fistula,pelvic-fistula,"['Vaginal discharge', 'Dizziness', 'Rectal bleeding', 'Back pain', 'Recent pregnancy', 'Fainting', 'Heartburn']","['vaginal-discharge', 'dizziness', 'rectal-bleeding', 'back-pain', 'recent-pregnancy', 'fainting', 'heartburn']","[52, 34, 34, 34, 34, 34, 34]","Condition: Pelvic fistula. Patient reports: Vaginal discharge, Dizziness, Rectal bleeding, Back pain, Recent pregnancy, Fainting, Heartburn.",7,52,36.57142857142857,1,2,1,urgent,False,16,2
Heat stroke,heat-stroke,"['Feeling hot', 'Chills', 'Fainting', 'Vomiting', 'Leg pain', 'Palpitations', 'Fever']","['feeling-hot', 'chills', 'fainting', 'vomiting', 'leg-pain', 'palpitations', 'fever']","[80, 63, 63, 63, 63, 63, 63]","Condition: Heat stroke. Patient reports: Feeling hot, Chills, Fainting, Vomiting, Leg pain, Palpitations, Fever.",7,80,65.42857142857143,1,3,0,urgent,True,14,2
Seasonal allergies (hay fever),seasonal-allergies-hay-fever,"['Nasal congestion', 'Cough', 'Allergic reaction', 'Sore throat', 'Headache', 'Ear pain', 'Sneezing']","['nasal-congestion', 'cough', 'allergic-reaction', 'sore-throat', 'headache', 'ear-pain', 'sneezing']","[72, 65, 53, 45, 32, 30, 25]","Condition: Seasonal allergies (hay fever). Patient reports: Nasal congestion, Cough, Allergic reaction, Sore throat, Headache, Ear pain, Sneezing.",7,72,46.0,0,3,2,self_monitor,True,18,0
Vocal cord polyp,vocal-cord-polyp,"['Hoarse voice', 'Sore throat', 'Difficulty speaking', 'Cough', 'Nasal congestion', 'Throat swelling', 'Diminished hearing']","['hoarse-voice', 'sore-throat', 'difficulty-speaking', 'cough', 'nasal-congestion', 'throat-swelling', 'diminished-hearing']","[91, 47, 27, 27, 27, 19, 19]","Condition: Vocal cord polyp. Patient reports: Hoarse voice, Sore throat, Difficulty speaking, Cough, Nasal congestion, Throat swelling, Diminished hearing.",7,91,36.71428571428572,1,1,1,urgent,False,19,2
Patau syndrome,patau-syndrome,"['Joint stiffness or tightness', 'Knee lump or mass', 'Eye strain', 'Excessive growth', 'Pelvic pressure', 'Vulvar sore', 'Bedwetting']","['joint-stiffness-or-tightness', 'knee-lump-or-mass', 'eye-strain', 'excessive-growth', 'pelvic-pressure', 'vulvar-sore', 'bedwetting']","[20, 20, 20, 20, 20, 20, 20]","Condition: Patau syndrome. Patient reports: Joint stiffness or tightness, Knee lump or mass, Eye strain, Excessive growth, Pelvic pressure, Vulvar sore, Bedwetting.",7,20,20.0,0,0,0,self_monitor,False,22,0
Hypokalemia,hypokalemia,"['Vomiting', 'Nausea', 'Sharp abdominal pain', 'Dizziness', 'Sharp chest pain', 'Weakness', 'Diarrhea']","['vomiting', 'nausea', 'sharp-abdominal-pain', 'dizziness', 'sharp-chest-pain', 'weakness', 'diarrhea']","[62, 58, 53, 47, 47, 47, 45]","Condition: Hypokalemia. Patient reports: Vomiting, Nausea, Sharp abdominal pain, Dizziness, Sharp chest pain, Weakness, Diarrhea.",7,62,51.285714285714285,1,4,0,urgent,False,15,2
Marijuana abuse,marijuana-abuse,"['Drug abuse', 'Abusing alcohol', 'Depressive or psychotic symptoms', 'Depression', 'Anxiety and nervousness', 'Hostile behavior', 'Delusions or hallucinations']","['drug-abuse', 'abusing-alcohol', 'depressive-or-psychotic-symptoms', 'depression', 'anxiety-and-nervousness', 'hostile-behavior', 'delusions-or-hallucinations']","[76, 56, 50, 34, 31, 14, 11]","Condition: Marijuana abuse. Patient reports: Drug abuse, Abusing alcohol, Depressive or psychotic symptoms, Depression, Anxiety and nervousness, Hostile behavior, Delusions or hallucinations.",7,76,38.85714285714285,0,0,0,self_monitor,False,22,0
Open wound of the hip,open-wound-of-the-hip,"['Hip pain', 'Leg pain', 'Hip swelling']","['hip-pain', 'leg-pain', 'hip-swelling']","[29, 29, 6]","Condition: Open wound of the hip. Patient reports: Hip pain, Leg pain, Hip swelling.",3,29,21.33333333333333,0,0,0,self_monitor,False,14,0
Pulmonary fibrosis,pulmonary-fibrosis,"['Shortness of breath', 'Cough', 'Sharp chest pain', 'Difficulty breathing', 'Fever', 'Fainting', 'Coughing up sputum']","['shortness-of-breath', 'cough', 'sharp-chest-pain', 'difficulty-breathing', 'fever', 'fainting', 'coughing-up-sputum']","[78, 62, 39, 37, 24, 20, 11]","Condition: Pulmonary fibrosis. Patient reports: Shortness of breath, Cough, Sharp chest pain, Difficulty breathing, Fever, Fainting, Coughing up sputum.",7,78,38.71428571428572,4,1,0,urgent,False,19,2
Idiopathic absence of menstruation,idiopathic-absence-of-menstruation,"['Absence of menstruation', 'Sharp abdominal pain', 'Unpredictable menstruation', 'Nausea', 'Pelvic pain', 'Long menstrual periods', 'Vaginal discharge']","['absence-of-menstruation', 'sharp-abdominal-pain', 'unpredictable-menstruation', 'nausea', 'pelvic-pain', 'long-menstrual-periods', 'vaginal-discharge']","[78, 36, 36, 24, 20, 18, 16]","Condition: Idiopathic absence of menstruation. Patient reports: Absence of menstruation, Sharp abdominal pain, Unpredictable menstruation, Nausea, Pelvic pain, Long menstrual periods, Vaginal discharge.",7,78,32.57142857142857,0,1,0,consult_gp,False,23,1
Raynaud disease,raynaud-disease,"['Loss of sensation', 'Hand or finger swelling', 'Abnormal appearing skin', 'Paresthesia', 'Poor circulation', 'Symptoms of eye', 'Ache all over']","['loss-of-sensation', 'hand-or-finger-swelling', 'abnormal-appearing-skin', 'paresthesia', 'poor-circulation', 'symptoms-of-eye', 'ache-all-over']","[47, 34, 34, 34, 34, 25, 25]","Condition: Raynaud disease. Patient reports: Loss of sensation, Hand or finger swelling, Abnormal appearing skin, Paresthesia, Poor circulation, Symptoms of eye, Ache all over.",7,47,33.285714285714285,0,0,0,self_monitor,False,24,0
Rocky Mountain spotted fever,rocky-mountain-spotted-fever,"['Headache', 'Shoulder cramps or spasms', 'Excessive anger', 'Ankle pain', 'Wrist pain', 'Pain during pregnancy', 'Facial pain']","['headache', 'shoulder-cramps-or-spasms', 'excessive-anger', 'ankle-pain', 'wrist-pain', 'pain-during-pregnancy', 'facial-pain']","[100, 32, 32, 32, 32, 32, 32]","Condition: Rocky Mountain spotted fever. Patient reports: Headache, Shoulder cramps or spasms, Excessive anger, Ankle pain, Wrist pain, Pain during pregnancy, Facial pain.",7,100,41.71428571428572,0,1,0,consult_gp,False,23,1
Injury to the trunk,injury-to-the-trunk,"['Back pain', 'Rib pain', 'Sharp chest pain', 'Low back pain', 'Neck pain', 'Shoulder pain', 'Headache']","['back-pain', 'rib-pain', 'sharp-chest-pain', 'low-back-pain', 'neck-pain', 'shoulder-pain', 'headache']","[72, 59, 53, 50, 49, 30, 28]","Condition: Injury to the trunk. Patient reports: Back pain, Rib pain, Sharp chest pain, Low back pain, Neck pain, Shoulder pain, Headache.",7,72,48.71428571428572,1,2,0,urgent,False,22,2
Open wound of the chest,open-wound-of-the-chest,"['Sharp chest pain', 'Drug abuse', 'Lip swelling']","['sharp-chest-pain', 'drug-abuse', 'lip-swelling']","[29, 12, 12]","Condition: Open wound of the chest. Patient reports: Sharp chest pain, Drug abuse, Lip swelling.",3,29,17.666666666666668,1,0,0,urgent,False,15,2
Necrotizing fasciitis,necrotizing-fasciitis,"['Leg pain', 'Hip pain', 'Peripheral edema', 'Hand or finger pain', 'Vaginal pain', 'Arm swelling', 'Skin lesion']","['leg-pain', 'hip-pain', 'peripheral-edema', 'hand-or-finger-pain', 'vaginal-pain', 'arm-swelling', 'skin-lesion']","[61, 43, 43, 43, 43, 43, 43]","Condition: Necrotizing fasciitis. Patient reports: Leg pain, Hip pain, Peripheral edema, Hand or finger pain, Vaginal pain, Arm swelling, Skin lesion.",7,61,45.57142857142857,0,1,0,urgent,True,21,2
Spondylosis,spondylosis,"['Low back pain', 'Back pain', 'Neck pain', 'Leg pain', 'Hip pain', 'Shoulder pain', 'Arm pain']","['low-back-pain', 'back-pain', 'neck-pain', 'leg-pain', 'hip-pain', 'shoulder-pain', 'arm-pain']","[77, 70, 66, 55, 40, 35, 30]","Condition: Spondylosis. Patient reports: Low back pain, Back pain, Neck pain, Leg pain, Hip pain, Shoulder pain, Arm pain.",7,77,53.285714285714285,0,1,0,consult_gp,False,19,1
Nose disorder,nose-disorder,"['Nasal congestion', 'Cough', 'Fever', 'Sore throat', 'Headache', 'Coryza', 'Ear pain']","['nasal-congestion', 'cough', 'fever', 'sore-throat', 'headache', 'coryza', 'ear-pain']","[83, 69, 47, 44, 36, 30, 28]","Condition: Nose disorder. Patient reports: Nasal congestion, Cough, Fever, Sore throat, Headache, Coryza, Ear pain.",7,83,48.142857142857146,0,4,1,consult_gp,False,15,1
Meningitis,meningitis,"['Headache', 'Fever', 'Vomiting', 'Neck pain', 'Ache all over', 'Back pain', 'Seizures']","['headache', 'fever', 'vomiting', 'neck-pain', 'ache-all-over', 'back-pain', 'seizures']","[87, 80, 53, 48, 42, 31, 31]","Condition: Meningitis. Patient reports: Headache, Fever, Vomiting, Neck pain, Ache all over, Back pain, Seizures.",7,87,53.142857142857146,1,4,0,urgent,True,15,2
Fungal infection of the hair,fungal-infection-of-the-hair,"['Skin rash', 'Skin swelling', 'Skin lesion', 'Abnormal appearing skin', 'Itching of skin', 'Acne or pimples', 'Irregular appearing scalp']","['skin-rash', 'skin-swelling', 'skin-lesion', 'abnormal-appearing-skin', 'itching-of-skin', 'acne-or-pimples', 'irregular-appearing-scalp']","[79, 52, 44, 42, 26, 25, 22]","Condition: Fungal infection of the hair. Patient reports: Skin rash, Skin swelling, Skin lesion, Abnormal appearing skin, Itching of skin, Acne or pimples, Irregular appearing scalp.",7,79,41.42857142857143,0,1,0,consult_gp,False,26,1
Pyogenic skin infection,pyogenic-skin-infection,"['Abnormal appearing skin', 'Skin lesion', 'Leg pain', 'Skin rash', 'Leg swelling', 'Foot or toe pain', 'Skin on leg or foot looks infected']","['abnormal-appearing-skin', 'skin-lesion', 'leg-pain', 'skin-rash', 'leg-swelling', 'foot-or-toe-pain', 'skin-on-leg-or-foot-looks-infected']","[46, 35, 30, 29, 25, 24, 24]","Condition: Pyogenic skin infection. Patient reports: Abnormal appearing skin, Skin lesion, Leg pain, Skin rash, Leg swelling, Foot or toe pain, Skin on leg or foot looks infected.",7,46,30.428571428571427,0,1,0,consult_gp,False,28,1
Syphilis,syphilis,"['Skin rash', 'Headache', 'Vaginal discharge', 'Foot or toe swelling', 'Itching of skin', 'Arm lump or mass', 'Problems during pregnancy']","['skin-rash', 'headache', 'vaginal-discharge', 'foot-or-toe-swelling', 'itching-of-skin', 'arm-lump-or-mass', 'problems-during-pregnancy']","[50, 34, 17, 17, 17, 9, 9]","Condition: Syphilis. Patient reports: Skin rash, Headache, Vaginal discharge, Foot or toe swelling, Itching of skin, Arm lump or mass, Problems during pregnancy.",7,50,21.857142857142858,0,2,0,consult_gp,False,23,1
Malaria,malaria,"['Headache', 'Fever', 'Ache all over', 'Weakness', 'Vomiting', 'Back pain', 'Fainting']","['headache', 'fever', 'ache-all-over', 'weakness', 'vomiting', 'back-pain', 'fainting']","[94, 87, 72, 72, 72, 72, 72]","Condition: Malaria. Patient reports: Headache, Fever, Ache all over, Weakness, Vomiting, Back pain, Fainting.",7,94,77.28571428571429,1,4,0,urgent,False,14,2
Ear wax impaction,ear-wax-impaction,"['Plugged feeling in ear', 'Ear pain', 'Diminished hearing', 'Cough', 'Nasal congestion', 'Fever', 'Ringing in ear']","['plugged-feeling-in-ear', 'ear-pain', 'diminished-hearing', 'cough', 'nasal-congestion', 'fever', 'ringing-in-ear']","[81, 76, 67, 38, 32, 27, 16]","Condition: Ear wax impaction. Patient reports: Plugged feeling in ear, Ear pain, Diminished hearing, Cough, Nasal congestion, Fever, Ringing in ear.",7,81,48.142857142857146,0,2,1,consult_gp,False,21,1
Interstitial lung disease,interstitial-lung-disease,"['Cough', 'Fever', 'Nasal congestion', 'Coryza', 'Sore throat', 'Shortness of breath', 'Difficulty breathing']","['cough', 'fever', 'nasal-congestion', 'coryza', 'sore-throat', 'shortness-of-breath', 'difficulty-breathing']","[86, 73, 67, 44, 44, 38, 38]","Condition: Interstitial lung disease. Patient reports: Cough, Fever, Nasal congestion, Coryza, Sore throat, Shortness of breath, Difficulty breathing.",7,86,55.71428571428572,2,2,1,urgent,False,18,2
Urethritis,urethritis,"['Painful urination', 'Penile discharge', 'Frequent urination', 'Sharp abdominal pain', 'Blood in urine', 'Penis pain', 'Retention of urine']","['painful-urination', 'penile-discharge', 'frequent-urination', 'sharp-abdominal-pain', 'blood-in-urine', 'penis-pain', 'retention-of-urine']","[83, 74, 39, 37, 34, 32, 30]","Condition: Urethritis. Patient reports: Painful urination, Penile discharge, Frequent urination, Sharp abdominal pain, Blood in urine, Penis pain, Retention of urine.",7,83,47.0,0,3,0,consult_gp,False,21,1
Subacute thyroiditis,subacute-thyroiditis,"['Problems during pregnancy', 'Pain during pregnancy', 'Uterine contractions', 'Sweating', 'Palpitations', 'Heartburn', 'Blood in stool']","['problems-during-pregnancy', 'pain-during-pregnancy', 'uterine-contractions', 'sweating', 'palpitations', 'heartburn', 'blood-in-stool']","[40, 29, 24, 14, 14, 8, 8]","Condition: Subacute thyroiditis. Patient reports: Problems during pregnancy, Pain during pregnancy, Uterine contractions, Sweating, Palpitations, Heartburn, Blood in stool.",7,40,19.571428571428573,0,1,1,consult_gp,False,19,1
Hyperlipidemia,hyperlipidemia,"['Sharp chest pain', 'Weight gain', 'Lymphedema', 'Smoking problems', 'Leg cramps or spasms']","['sharp-chest-pain', 'weight-gain', 'lymphedema', 'smoking-problems', 'leg-cramps-or-spasms']","[25, 10, 2, 2, 2]","Condition: Hyperlipidemia. Patient reports: Sharp chest pain, Weight gain, Lymphedema, Smoking problems, Leg cramps or spasms.",5,25,8.2,1,1,0,urgent,False,16,2
Social phobia,social-phobia,"['Anxiety and nervousness', 'Depression', 'Depressive or psychotic symptoms', 'Fears and phobias', 'Insomnia', 'Abusing alcohol', 'Low self-esteem']","['anxiety-and-nervousness', 'depression', 'depressive-or-psychotic-symptoms', 'fears-and-phobias', 'insomnia', 'abusing-alcohol', 'low-self-esteem']","[82, 67, 33, 28, 25, 13, 13]","Condition: Social phobia. Patient reports: Anxiety and nervousness, Depression, Depressive or psychotic symptoms, Fears and phobias, Insomnia, Abusing alcohol, Low self-esteem.",7,82,37.285714285714285,0,0,0,self_monitor,True,21,0
Idiopathic excessive menstruation,idiopathic-excessive-menstruation,"['Heavy menstrual flow', 'Unpredictable menstruation', 'Pelvic pain', 'Sharp abdominal pain', 'Painful menstruation', 'Long menstrual periods', 'Intermenstrual bleeding']","['heavy-menstrual-flow', 'unpredictable-menstruation', 'pelvic-pain', 'sharp-abdominal-pain', 'painful-menstruation', 'long-menstrual-periods', 'intermenstrual-bleeding']","[77, 33, 30, 30, 28, 23, 17]","Condition: Idiopathic excessive menstruation. Patient reports: Heavy menstrual flow, Unpredictable menstruation, Pelvic pain, Sharp abdominal pain, Painful menstruation, Long menstrual periods, Intermenstrual bleeding.",7,77,34.0,0,1,0,consult_gp,False,23,1
Perirectal infection,perirectal-infection,"['Pain of the anus', 'Mass or swelling around the anus', 'Skin swelling', 'Lower body pain', 'Fluid retention', 'Skin lesion', 'Skin growth']","['pain-of-the-anus', 'mass-or-swelling-around-the-anus', 'skin-swelling', 'lower-body-pain', 'fluid-retention', 'skin-lesion', 'skin-growth']","[64, 26, 26, 26, 22, 22, 22]","Condition: Perirectal infection. Patient reports: Pain of the anus, Mass or swelling around the anus, Skin swelling, Lower body pain, Fluid retention, Skin lesion, Skin growth.",7,64,29.714285714285715,0,0,0,self_monitor,False,26,0
Skin disorder,skin-disorder,"['Skin lesion', 'Abnormal appearing skin', 'Skin rash', 'Skin moles', 'Skin growth', 'Skin swelling', 'Itching of skin']","['skin-lesion', 'abnormal-appearing-skin', 'skin-rash', 'skin-moles', 'skin-growth', 'skin-swelling', 'itching-of-skin']","[75, 44, 44, 26, 25, 23, 22]","Condition: Skin disorder. Patient reports: Skin lesion, Abnormal appearing skin, Skin rash, Skin moles, Skin growth, Skin swelling, Itching of skin.",7,75,37.0,0,1,0,consult_gp,False,21,1
Burn,burn,"['Knee pain', 'Headache', 'Hand or finger pain', 'Wrist pain', 'Elbow pain', 'Bleeding from ear', 'Skin irritation']","['knee-pain', 'headache', 'hand-or-finger-pain', 'wrist-pain', 'elbow-pain', 'bleeding-from-ear', 'skin-irritation']","[26, 24, 19, 12, 12, 3, 3]","Condition: Burn. Patient reports: Knee pain, Headache, Hand or finger pain, Wrist pain, Elbow pain, Bleeding from ear, Skin irritation.",7,26,14.142857142857142,0,1,0,consult_gp,False,20,1
Autism,autism,"['Seizures', 'Depressive or psychotic symptoms', 'Hostile behavior', 'Lack of growth', 'Constipation', 'Temper problems', 'Antisocial behavior']","['seizures', 'depressive-or-psychotic-symptoms', 'hostile-behavior', 'lack-of-growth', 'constipation', 'temper-problems', 'antisocial-behavior']","[41, 29, 24, 17, 13, 11, 8]","Condition: Autism. Patient reports: Seizures, Depressive or psychotic symptoms, Hostile behavior, Lack of growth, Constipation, Temper problems, Antisocial behavior.",7,41,20.428571428571427,1,0,0,urgent,False,19,2
Colonic polyp,colonic-polyp,"['Rectal bleeding', 'Blood in stool', 'Constipation', 'Sharp abdominal pain', 'Diarrhea', 'Upper abdominal pain', 'Heartburn']","['rectal-bleeding', 'blood-in-stool', 'constipation', 'sharp-abdominal-pain', 'diarrhea', 'upper-abdominal-pain', 'heartburn']","[42, 35, 31, 31, 28, 17, 13]","Condition: Colonic polyp. Patient reports: Rectal bleeding, Blood in stool, Constipation, Sharp abdominal pain, Diarrhea, Upper abdominal pain, Heartburn.",7,42,28.142857142857142,0,2,1,consult_gp,False,19,1
Diabetes insipidus,diabetes-insipidus,"['Excessive appetite', 'Cough', 'Difficulty in swallowing', 'Frequent urination', 'Dizziness', 'Itchy eyelid', 'Emotional symptoms']","['excessive-appetite', 'cough', 'difficulty-in-swallowing', 'frequent-urination', 'dizziness', 'itchy-eyelid', 'emotional-symptoms']","[51, 51, 51, 51, 51, 4, 4]","Condition: Diabetes insipidus. Patient reports: Excessive appetite, Cough, Difficulty in swallowing, Frequent urination, Dizziness, Itchy eyelid, Emotional symptoms.",7,51,37.57142857142857,0,1,0,consult_gp,False,18,1
Transient ischemic attack,transient-ischemic-attack,"['Loss of sensation', 'Dizziness', 'Headache', 'Weakness', 'Focal weakness', 'Slurring words', 'Difficulty speaking']","['loss-of-sensation', 'dizziness', 'headache', 'weakness', 'focal-weakness', 'slurring-words', 'difficulty-speaking']","[62, 53, 51, 46, 40, 40, 33]","Condition: Transient ischemic attack. Patient reports: Loss of sensation, Dizziness, Headache, Weakness, Focal weakness, Slurring words, Difficulty speaking.",7,62,46.42857142857143,0,2,0,urgent,True,18,2
Hematoma,hematoma,"['Sharp abdominal pain', 'Ache all over', 'Groin pain', 'Peripheral edema', 'Lump or mass of breast', 'Abnormal appearing skin', 'Arm swelling']","['sharp-abdominal-pain', 'ache-all-over', 'groin-pain', 'peripheral-edema', 'lump-or-mass-of-breast', 'abnormal-appearing-skin', 'arm-swelling']","[37, 25, 25, 20, 20, 20, 20]","Condition: Hematoma. Patient reports: Sharp abdominal pain, Ache all over, Groin pain, Peripheral edema, Lump or mass of breast, Abnormal appearing skin, Arm swelling.",7,37,23.857142857142858,0,2,0,consult_gp,False,24,1
Conjunctivitis due to allergy,conjunctivitis-due-to-allergy,"['Eye redness', 'Itchiness of eye', 'Pain in eye', 'Lacrimation', 'Nasal congestion', 'Swollen eye', 'Eye burns or stings']","['eye-redness', 'itchiness-of-eye', 'pain-in-eye', 'lacrimation', 'nasal-congestion', 'swollen-eye', 'eye-burns-or-stings']","[74, 71, 67, 54, 45, 42, 37]","Condition: Conjunctivitis due to allergy. Patient reports: Eye redness, Itchiness of eye, Pain in eye, Lacrimation, Nasal congestion, Swollen eye, Eye burns or stings.",7,74,55.71428571428572,0,0,1,self_monitor,False,24,0
Heart failure,heart-failure,"['Shortness of breath', 'Sharp chest pain', 'Difficulty breathing', 'Peripheral edema', 'Cough', 'Weakness', 'Chest tightness']","['shortness-of-breath', 'sharp-chest-pain', 'difficulty-breathing', 'peripheral-edema', 'cough', 'weakness', 'chest-tightness']","[77, 47, 37, 27, 27, 22, 18]","Condition: Heart failure. Patient reports: Shortness of breath, Sharp chest pain, Difficulty breathing, Peripheral edema, Cough, Weakness, Chest tightness.",7,77,36.42857142857143,4,1,0,urgent,False,19,2
Diverticulosis,diverticulosis,"['Sharp abdominal pain', 'Rectal bleeding', 'Constipation', 'Diarrhea', 'Blood in stool', 'Burning abdominal pain', 'Nausea']","['sharp-abdominal-pain', 'rectal-bleeding', 'constipation', 'diarrhea', 'blood-in-stool', 'burning-abdominal-pain', 'nausea']","[70, 40, 40, 37, 34, 31, 31]","Condition: Diverticulosis. Patient reports: Sharp abdominal pain, Rectal bleeding, Constipation, Diarrhea, Blood in stool, Burning abdominal pain, Nausea.",7,70,40.42857142857143,0,2,0,consult_gp,False,18,1
Heart contusion,heart-contusion,"['Apnea', 'Sharp chest pain', 'Depression', 'Fainting', 'Itchy eyelid', 'Cross-eyed', 'Excessive growth']","['apnea', 'sharp-chest-pain', 'depression', 'fainting', 'itchy-eyelid', 'cross-eyed', 'excessive-growth']","[51, 51, 51, 51, 4, 4, 4]","Condition: Heart contusion. Patient reports: Apnea, Sharp chest pain, Depression, Fainting, Itchy eyelid, Cross-eyed, Excessive growth.",7,51,30.857142857142858,2,0,0,urgent,False,16,2
Diabetic ketoacidosis,diabetic-ketoacidosis,"['Vomiting', 'Nausea', 'Weakness', 'Sharp abdominal pain', 'Sharp chest pain', 'Diarrhea', 'Depressive or psychotic symptoms']","['vomiting', 'nausea', 'weakness', 'sharp-abdominal-pain', 'sharp-chest-pain', 'diarrhea', 'depressive-or-psychotic-symptoms']","[84, 66, 46, 42, 37, 34, 31]","Condition: Diabetic ketoacidosis. Patient reports: Vomiting, Nausea, Weakness, Sharp abdominal pain, Sharp chest pain, Diarrhea, Depressive or psychotic symptoms.",7,84,48.57142857142857,1,3,0,urgent,True,19,2
Injury to the knee,injury-to-the-knee,"['Knee pain', 'Knee swelling', 'Leg pain', 'Problems with movement', 'Knee stiffness or tightness', 'Leg swelling', 'Knee weakness']","['knee-pain', 'knee-swelling', 'leg-pain', 'problems-with-movement', 'knee-stiffness-or-tightness', 'leg-swelling', 'knee-weakness']","[94, 30, 30, 19, 11, 11, 11]","Condition: Injury to the knee. Patient reports: Knee pain, Knee swelling, Leg pain, Problems with movement, Knee stiffness or tightness, Leg swelling, Knee weakness.",7,94,29.428571428571427,0,0,0,self_monitor,False,24,0
Pseudohypoparathyroidism,pseudohypoparathyroidism,"['Knee pain', 'Foot or toe pain', 'Wrist pain', 'Low back pain', 'Hip pain', 'Leg pain', 'Joint pain']","['knee-pain', 'foot-or-toe-pain', 'wrist-pain', 'low-back-pain', 'hip-pain', 'leg-pain', 'joint-pain']","[87, 51, 51, 33, 33, 33, 33]","Condition: Pseudohypoparathyroidism. Patient reports: Knee pain, Foot or toe pain, Wrist pain, Low back pain, Hip pain, Leg pain, Joint pain.",7,87,45.85714285714285,0,2,0,consult_gp,False,21,1
